,name,description,ResponsibleMissionDirectorate:,LeadOrganization:,ResponsibleProgram:,ProgramDirector:,ProgramManager:,ProjectManager:,PrincipalInvestigator:,Co-Investigator:,Start,End,ProjectManagers:,PrincipalInvestigators:,LeadCenter/Facility:,ProgramDirectors:,Co-Investigators:,ProgramManagers:
313,Linear Mode Photon Counting HgCdTe Avalanche Photodiode Arrays for Multi-beam Laser Altimeters,"We propose to develop a 2x30 and a 7x8 pixel linear mode photon counting (LMPC) HgCdTe avalanche photodiode (APD) array for future planetary laser altimeters and infrared laser absorption spectrometers. These new detectors can detect single photon event and are about 100 times more sensitive than the silicon APDs and photomultiplier tubes used in current laser altimeters in space. The higher sensitivity and pixelated detectors will enable us to increase the number of beams by a factor of 10 compared to the current multi-beam laser altimeter, such as the Lunar Orbiter Laser Altimeter (LOLA) without increasing the laser power. The spectral response of these new detectors spans from 0.4 to 4.3 micrometers, which broaden the choice of laser wavelengths to enable penetrating atmosphere at one of the spectral transmission windows of certain planetary bodies, such as Titan. The new detectors can also be used in atmosphere backscattering lidars and laser absorption spectrometers with near quantum limited performance. These detectors are based on the recent HgCdTe APD technology developed by DRS Technologies supported by the NASA Earth Science Technology Office (ESTO). We have already developed a prototype device with 2x8 pixel in a micro cryo-cooler. Here we proposed to develop a mid-sized LMPC HgCdTe APD array for multi-beam laser altimeters with at least 10 times more beams than the current technology and pave the way for even larger pixel arrays for future 3-D imaging lidar. 	Laser altimeters, or lidar, have been used in numerous space missions to measure surface topography, global shape, orbit, and surface reflectance at the laser wavelength. Early planetary laser altimeters, such as the Mars Orbiter Laser Altimeter (MOLA), used a single laser beam to measure the surface elevation profile one per orbit. LOLA is the first multi-beam laser altimeters and shows the great benefit and potential of multi-beam measurements. Besides a much finer and denser ground coverage, it measures the surface slope and roughness from a single laser pulse. It also gives orders of magnitude more cross-over points for orbit and laser beam pointing determination. However the number of laser beams are now limited by the detector sensitivity, size, and the available laser power. The LMPC HgCdTe APD arrays which we propose to develop will have single photon sensitivity and combine individual detector packages into a focal plane array (FPA) to enable a LOLA sized instrument to have 10 times more beams. The United States Defense Advanced Research Projects Agency (DARPA) has already funded DRS after NASA ESTO to produce a large size focal plane array (FPA) but with a simplified read-out integrated circuit (ROIC) for ground-based flash lidar demonstration. We will leverage these investments to develop and demonstrate a 2x30 and a 7x8 pixel array detector (60 and 56 pixels) with full pulse waveform outputs. We will also study the use a single laser with microlens array to illuminate ground surface in a pattern that matches the detector pixel format.       Our work plan is to (a) develop a 2x30 and a 7x8 pixel LMPC HgCdTe APD FPA with ROIC for single photon sensitivity linear outputs; (b) integrate the FPA in a low-cost liquid nitrogen Dewar system and characterize the detector performance; (c) investigate the signal waveform processing techniques that are efficient and can later be integrated in the ROIC, and (d) develop a laser transmitter beam formation technique to match the detector pixel patterns. The entry TRLfor the detector and the laser transmitter are TRL-2. We propose a 3-year research and development program to bring them to TRL-4. The target applications are multi-beam laser altimeters and atmosphere backscattering lidar for Mars and other planetary bodies, mid-wave infrared laser spectral absorption lidar for the Moon and asteroids, and proximity operation lidar for asteroid mapping and sample returns.
						More »",Science Mission Directorate(SMD),,Planetary Instrument Concepts for the Advancement of Solar System Observations,EricaNMontbach,ShahidAslam,,XiaoliSun,,Jun2018,May2021,,,Goddard Space Flight Center(GSFC),,DavidTLeisawitz,
314,A Distributed Resilient Autonomous Framework for Manned/Unmanned Trajectory-Based Operations,"Resilient Ops, working in collaboration with Metron Aviation, Inc., proposes to develop a prototype system for planning Unmanned Aircraft Systems (UAS) trajectories based on user intent and preference information. The system, called DRIFT-UAS (Distributed Resilient Framework for Trajectory Management of Unmanned Aircraft Systems), is intended to support autonomous Air Traffic Flow Management (ATFM) under Trajectory-Based Operations (TBO). It is composed of algorithms and information-sharing components that enable autonomous trajectory planning while optimizing system-wide objectives such as safety, efficiency, and equity. DRIFT-UAS works for a mixed environment (manned and unmanned aircraft), but special emphasis is placed on Unmanned Aircraft Systems (UAS). The immediate application is primarily targeted at lower-altitude aircraft (below 18,000 feet) but DRIFT-UAS would apply as well to upper altitudes. Using DRIFT-UAS, flight operators and air traffic management iteratively exchange trajectory intent and congestion feedback to develop trajectories that are efficient and equitable, while preserving an aircraft�s autonomy in generating its own trajectories based on its internal objective tradeoffs. The feedback aspect of the DRIFT-UAS architecture separates it from other �evaluators,� i.e., systems that check whether operating constraints are violated given a set of trajectories. Once DRIFT-UAS checks the proposed trajectories against system constraints, it provides each aircraft with information via a price update on levels of congestion and system constraints in space and time that would enable the aircraft to revise its trajectory if required. This two-way communication between aircraft and air traffic management on trajectory intent and feasibility results in better trajectories as well as clearer guidance to airspace users as to which trajectories are most likely to be available.
						More »",Space Technology Mission Directorate(STMD),"Resilient Ops, Inc",Small Business Innovation Research/Small Business Tech Transfer,JasonLKessler,CarlosTorrez,,BalaGChandran,,May2016,Apr2018,TimothyALewis,,,,,
315,A Thermal Imaging Instrument with Uncooled Detectors,"In this proposed work, we will perform an instrument concept study for sustainable thermal imaging over land with uncooled detectors. We will define the science and instrument requirements and we will evaluate three different uncooled detector technologies, which have been conceptualized by our team (and are presently at low-TRL). We will also build-up and demonstrate the materials characterization infrastructure required for progressing the TRL of a chosen uncooled detector technology. The National Research Council's Committee on Implementation of a Sustained Land Imaging Program has identified the inclusion of a thermal imager as critical for both current and future land imaging missions. Such an imaging instrument operating in two bands located at approximately 11 and 12 microns (for example, in Landsat 8, and also Landsat 9 when launched) will provide essential information for furthering our hydrologic understanding at scales of human influence, and produce field-scale moisture information through accurate retrievals of evapotranspiration (ET). Landsat 9 is slated to recycle the TIRS-2 instrument launched with Landsat 8 that uses cooled quantum well infrared photodetectors (QWIPs) operating at ~43-65 K temperature, hence requiring expensive and massive cryocooler technology to achieve its required spectral and spatial accuracies (Fig. 1). In contrast, we aim to conceptualize and develop a thermal imaging instrument which leverages recent and imminent technology advances in uncooled detectors. Such detector technology will offer the benefit of greatly reduced instrument cost, mass, and power at the expense of some acceptable loss in detector sensitivity. It would also allow a thermal imaging instrument to be fielded on board a low-cost platform, e.g., a CubeSat. In addition, it would enable capitalizing on the greater number of launch opportunities available for launch vehicles like the Evolved Expendable Launch Vehicle (EELV) Secondary Payload Adapter (ESPA).
More »",Mission Support Directorate(MSD),,Center Independent Research & Development: GSFC IRAD,,PeterMHughes,,AliciaTJoseph,,Oct2016,Sep2020,MatthewJMcgill,,Goddard Space Flight Center(GSFC),,,
316,Supernova Remnant Observations and Dark Matter Searches with Micro-X,"Micro-X is a sounding rocket payload that combines an X-ray microcalorimeter with an imaging mirror to offer breakthrough science from high spectral resolution observations of extended X-ray sources. The design and development of this complicated payload has been an ongoing NASA APRA effort which is finally complete and undergoing integration in preparation for launch in February 2018. This three-year proposal seeks funding for: (1) Support of our NASA and NIST Co-I's for the first flight and for analysis of the flight 1 data, (2) design and implementation of payload modifications to optimize Micro-X for a dark matter search and the second flight of the payload from Australia in 2019, and (3) flight 2 data analysis. The scientific payload consists of a Transition Edge Sensor (TES) microcalorimeter array at the focus of a flight-proven conical imaging mirror. Micro-X capitalizes on three decades of NASA investment in the development of microcalorimeters and X-ray imaging optics. Micro-X offers a unique combination of bandpass, collecting area, and spectral and angular resolution. The spectral resolution goal across the 0.2-3.0 keV band is 4-8 eV Full-Width at Half Maximum (FWHM). A reconfiguration of the payload optimizing for ""grasp"" (Effective Area * Field of View) by removing the mirror and increasing the Field of View (FOV) allows this versatile sounding rocket payload to perform dark matter searches with world-leading sensitivity, as well as studies of the soft X-ray background. Our scientific program for this proposal will focus on supernova remnants (SNRs) and sterile neutrino dark matter. For flight 1, we will observe the Bright Eastern Knot (BEK) in the Puppis A SNR. The spatial extent of SNRs has made high-energy resolution observations with grating instruments extremely challenging. X-ray observations of SNRs with microcalorimeters will enable the study of the detailed atomic physics of the plasma; the determination of temperature, turbulence, and elemental abundances; and to look for evidence of charge exchange and clues to gamma-ray emmission from shock regions. We will continue to advance the technology readiness of TES microcalorimeters while enhancing the science capability of the payload by implementing a series of modifications for the second flight. This entails new higher-resolution detectors and modifications of the payload to allow it to fly without the mirror in a large FOV mode appropriate for dark matter searches and studies of the soft-X-ray background. These modifications for flight 2 enable a unique opportunity for a flight collaboration with the XQC sounding rocket team. The X-ray Quantum Calorimeter (XQC) payload is a wide FOV microcalorimeter spectrometer that has flown five times to study the soft diffuse X-ray background. Our two teams will collaborate on a joint observation campaign to take place from Australia in September 2019. The Galactic Center region is the target of Micro-X flight 2. This observation looks for an X-ray line from the decay of dark matter in the Milky Way. Sterile neutrinos with keV mass are theoretically well-motivated dark matter candidates with such a signal. In addition to a general search in the 1-10 keV band, Micro-X will investigate the presence of an observed X-ray line of unexplained origin at 3.5 keV from the Galactic Center. If it detects this line, Micro-X will be able to determine if its energy is consistent with that of known atomic lines in that energy range. In addition, its flux in the wider FOV of Micro-X can be compared with the XMM claim to help distinguish between a point-source or extended-source origin for such a line. Although the science goals for Micro-X flight 2 do not require the XQC data, a combined data set with two observations of the Galactic Center region will increase the sensitivity of the analysis and offer a unique collaborative flight experience for our graduate students and postdocs.
						More »",Science Mission Directorate(SMD),Northwestern University,Astrophysics Research and Analysis,MichaelAGarcia,DominicJBenford,,EnectaliFigueroa,,Oct2017,Sep2020,,,,,DanielCastro,
317,Heisenberg vortex for light-weight refrigeration of liquid hydrogen,"Only 83 years ago Werner Karl Heisenberg was awarded the Nobel Prize in physics. His  work led to the creation of quantum mechanics, the application of which has, inter alia, led to  the discovery of the allotropic forms of hydrogen. Fast forward to today,  and the idea that a device as simple as a tube could allow further space travel than ever before  seems impossible. Yet, this is exactly what the Heisenberg vortex allows. The novel Heisenberg  vortex allows for a completely new strategy for the refrigeration of liquid hydrogen tanks. The  para-orthohydrogen conversion via the Heisenberg vortex consists of a Ranque-Hilsch vortex  tube with catalytic liner and takes advantage of the largest entropy change useful at cryogenic  temperatures. This invention will have a direct impact on NASA TABS 14.1 Cryogenic Systems  technology area. Specifically, this technology will address in-space propellant boil-off. Complex  cryocoolers are currently used for refrigeration due to liquid hydrogen's very low temperature  requirements. But, these systems are heavy, power intensive, and contain many moving parts.  The Heisenberg vortex has the potential to supersede current cryocooler technology resulting in  an efficient, reliable refrigeration system with no moving parts and lightweight characteristics.  This advance is directly relevant to the Evolvable Cryogenics (eCryo) and the Advanced  Cryogenic Evolved Stage (ACES) projects. This project will be a continuation of the great  NASA relationship established here at the HYPER Lab and Washington State University.
						More »",Space Technology Mission Directorate(STMD),Washington State University,Space Technology Research Grants,ClaudiaMMeyer,HungDNguyen,WesleyLJohnson,JacobLeachman,CarlDBunge,Aug2016,Aug2018,,,,,,
318,Superconducting Nanowire Single Photon Detectors for High-Data-Rate Deep-Space Optical Communication,"High data rate deep space optical communication (DSOC) links for manned and unmanned space exploration have been identified by NASA as a critical future capability, enabling advanced instruments, live high definition video feeds, tele-presence, and human exploration of Mars and beyond. Adopting optical communications promises a ten-to-one-hundred-times increase in data rates from deep space for equivalent spacecraft mass and power as compared to state-of-the-art deep-space Ka-band RF communication systems. One of the key enabling technologies for DSOC is a large area photon counting ground detector array. This array has been identified as a top priority in NASAs technology roadmap (as technology area 5.1.1). To minimize the resources consumed on the spacecraft, it is essential to have the best possible single photon counting detectors on the ground. Therefore, the ground detectors should be efficient (a large fraction of the incident photons should be registered as counts) with low jitter (indeterminacy in the photon arrival time), high maximum count rate, and low false count rate. Ground detector arrays capable of supporting Gb/s links from Mars and beyond are within reach, but still require further technological development. To address this need, the Space Technology Mission Directorate Game Changing Development program office has supported a DSOC technology development project at JPL to realize these goals using kilopixel arrays of tungsten silicide superconducting nanowire single photon detectors (WSi SNSPDs). To minimize the mass and power required on the spacecraft, future DSOC links will be encoded using pulse-position modulation (PPM). In PPM schemes, the maximum data rate achievable is ultimately limited by the timing jitter of the ground detector. While some NbN SNSPDs have demonstrated 25 ps jitter, they also have much lower detection efficiency and SNSPDs have not yet been developed which simultaneously achieve near-unity detection efficiency and 10s of picoseconds of jitter. Furthermore, we do not yet understand the fundamental limits to which the jitter of SNSPDs can be reduced.  For my doctoral research at MIT, I will investigate the fundamental mechanisms of jitter in SNSPDs and engineer unity efficiency detectors with significantly reduced jitter. This will allow a dramatic increase in the fundamental data-rate limit in DSOC links. A key element of my project plan is numerical simulation coupled to nanoscale characterization. By creating more accurate models for SNSPD behavior and coupling these models to microscopic characterizations of actual nanowires I will be able to understand and then engineer jitter in these devices.
						More »",Space Technology Mission Directorate(STMD),Massachusetts Institute of Technology(MIT),Space Technology Research Grants,ClaudiaMMeyer,HungDNguyen,SamuelHMoseley,KarlBerggren,AndrewDane,Aug2014,Nov2018,,,,,,
319,Monitoring the High-Energy Radiation Environment of Exoplanets around Low-mass Stars with SPARCS (Star-Planet Activity Research CubeSat),"Seventy-five billion M dwarfs in our galaxy host at least one small planet in the habitable zone (HZ). The stellar ultraviolet (UV) radiation from M dwarfs is strong and highly variable, and impacts planetary atmospheric loss, composition and habitability. These effects are amplified by the extreme proximity of their HZs (0.1–0.4 AU). JWST will characterize HZ M dwarf planets and attempt the first spectroscopic search for life beyond the Solar System. Knowing the UV environments of M dwarf planets will be crucial to understanding their atmospheric composition and a key parameter in discriminating between biological and abiotic sources for observed biosignatures. The UV flux emitted during the super-luminous pre-main sequence phase of M stars drives water loss and photochemical O2 buildup for terrestrial planets within the HZ. This phase can persist for up to a billion years for the lowest mass M stars. Afterwards, UV-driven photochemistry during the main sequence phase strongly affects a planet's atmosphere, could limit the planet's potential for habitability, and may confuse studies of habitability by creating false chemical biosignatures. Our proposed CubeSat observatory will be the first mission to provide the time-dependent spectral slope, intensity and evolution of M dwarf stellar UV radiation. These measurements are crucial to interpreting observations of planetary atmospheres around low-mass stars. Mission: The Star-Planet Activity Research CubeSat (SPARCS) will be a 6U CubeSat devoted to monitoring 25 M stars in two UV bands: SPARCS far-UV (S- FUV: 153–171 nm) and SPARCS near-UV (S-NUV: 260– 300 nm). For each target, SPARCS will observe continuously between one and three complete stellar rotations (4–45 days) over a mission lifetime of 2 years. A UV characterization survey of M dwarfs, the most common of planet hosts, is a perfect experiment for a CubeSat: -- UV astronomy cannot be done from the ground because of Earth's atmospheric absorption. -- Photometry of nearby sources is an efficient use of a small aperture. -- Unlike the HST, whose time is shared among many instruments and programs, a CubeSat can provide dedicated space-based long-term monitoring in the UV. Technology: SPARCS will advance UV detector technology by flying high quantum efficiency (QE), UV-optimized detectors developed at JPL. These “delta-doped” detectors have a long history of deployment demonstrating greater than 5x the sensitivity of the detectors used by GALEX. SPARCS will pave the way for their application in missions like LUVOIR or HabEx. Education: The SPARCS research program will train future scientists and mission leaders by mentoring five undergraduate students, three graduate students, and two post-doctoral scholars throughout all aspects of the mission, including engineering, science, data management and outreach. Relevance to NASA: The SPARCS mission will address NASA's goals of identifying the characteristics and distribution of potentially habitable environments, including HZ planet hosts like Proxima and TRAPPIST-1. SPARCS will also be capable of ‘target-of-opportunity’ UV observations of NASA's TESS yield of rocky planets in M dwarf HZs, some of the first HZ planets to be spectroscopically characterized by JWST. SPARCS can provide the needed UV context for the interpretation of transmission and emission spectra of these potentially habitable planets. Further into the future, SPARCS results will inform the target strategy for the enormous telescopic investments in exoplanet science of LUVOIR or HabEx. SPARCS’ technology will fill a gap in NASA's capabilities to observe low-mass stellar/planetary systems in the FUV and NUV. HST's UV capabilities will not last much later than 2019, with future opportunities (e.g., LUVOIR) not arriving until sometime after 2035. The detector technology of this CubeSat will play a crucial role in these and interim UV-capable missions.
More »",Science Mission Directorate(SMD),Arizona State University-Tempe(ASU),Astrophysics Research and Analysis,MichaelAGarcia,DominicJBenford,,EvgenyaLShkolnik,,Jan2018,Dec2021,,,,,ShoulehNikzad,
320,Precision Foreground Removal in Cosmic Microwave Background Polarization Maps,"The most promising method for detecting primordial gravitational waves lies in the B-mode polarization of the cosmic microwave background, or CMB. A measurement of these B-modes would reveal the first evidence for quantum gravity and determine the energy scale of inflation. However, polarized foreground emission from synchrotron radiation and dust in our galaxys  magnetic field are sources of significant contamination for CMB B-mode polarization maps. I propose to develop high-precision photometric calibration technology in order to make the highest possible quality foreground-cleaned polarization maps of the CMB. I will build and characterize a precision Fourier Transform Spectrometer (FTS) with a novel optical coupling scheme that will enable on-site measurements of Advanced ACTPols  detectors spectral responses. I will develop new anti-reflection coating technology for optical systems to ensure precise calibration. With my calibration in hand, I will then produce foreground-separated polarization maps which will be used to place constraints on inflation, neutrinos and dark energy. The technology I develop will be applicable to all suborbital and space-based CMB, millimeter wave, and submillimeter wave experiments. My work aligns with NASAs  goals outlined in the Science Instruments, Observatories, and Sensor Systems Roadmap (TA08.1.4 and TA08.2.2), Materials, Structures, Mechanical Systems, and Manufacturing Roadmap (TA12.1.4), Physics of the Cosmos Program, and Cosmic Origins Program.
						More »",Space Technology Mission Directorate(STMD),University of Michigan-Ann Arbor,Space Technology Research Grants,ClaudiaMMeyer,HungDNguyen,EricRSwitzer,JeffreyMcmahon,TaylorABaildon,Aug2016,Jul2020,,,,,,
321,Electrolyte Engineering Toward Increasing Nonaqueous Lithium-Oxygen Battery Capacity,"With lithium-ion battery technology reaching its theoretical specific energy limit, electric vehicles, unmanned aerial vehicles, spacecraft and spacesuits alike require a breakthrough battery electrochemistry to unlock new range and capabilities. Among the beyond Li-ion  battery chemistries studied to date, the nonaqueous lithium-oxygen battery has the highest theoretical specific energy. Critical scientific challenges prevent the realization of this high specific energy, however, including the insulating nature of the electrochemical discharge product, lithium peroxide. As lithium peroxide forms in the battery, it passivates the battery cathode, leading to low ultimate cell capacities. As a graduate student researcher at the University of California, Berkeley, I recently published work on the ability of an appropriately selected anion to increase solubility of the electrochemical intermediate to lithium peroxide formation, lithium superoxide (LiO2), by lowering the free energy of the lithium cation (Li+) in solution. I showed this increase in lithium superoxide solubility enhanced a different lithium peroxide growth mechanism, circumventing the passivation issue and increasing battery capacity. The effect of anion-induced solubility is limited, however, by the already low free energy of Li+ in solution. As a next step, I hypothesize that the addition of appropriately selected non-Li alkali metal cations to the electrolyte in nonaqueous lithium-oxygen batteries will enhance LiO2 solubility more so than the anions I previously studied by lowering the free energy of O2- in solution, resulting in a larger increase in battery capacity. To test this hypothesis, I plan to build laboratory-scale lithium-oxygen batteries containing electrolytes with and without non-Li alkali metal cations, and characterize battery capacity via galvanostatic cycling, lithium peroxide growth via scanning electron microscopy, and lithium superoxide solubility via nuclear magnetic resonance spectroscopy.
More »",Space Technology Mission Directorate(STMD),University of California-Berkeley(Berkeley),Space Technology Research Grants,ClaudiaMMeyer,HungDNguyen,JohnWLawson,BryanMccloskey,ColinMBurke,Aug2016,Jul2018,,,,,,
322,Wide-Bandgap III-V Materials for Multijunction Solar Cell Applications,"My proposal aims to address cost and efficiency issues associated with solar technology for space applications as well as its potential for positive global environmental impacts. The goal of this proposal aligns well with NASA's objectives outlined in the STR TABS for Space Power & Energy Storage (TA03). Three individual but highly complementary research projects are proposed that will culminate in an integration of all three ideas into two demonstrative triple junction solar cells.  For space applications, high specific power is a key requirement for power generation. While some types of solar technology, such as Si single junction, organic, and dye-sensitized solar cells, achieve relatively low cost, they are quite limited in efficiency. Multijunction solar technology can achieve a much larger efficiencies and specific power by stacking solar cells consisting of different bandgap materials to collect a broad portion of the solar spectrum. Multijunction cells are typically made from III-V materials, which are quite expensive relative to alternatives, such as Si and organics. To make this technology more competitive for both space and terrestrial applications, we must lower the cost per watt, which can be achieved either by reducing cost or improving efficiency. The first two projects aim to improve efficiency through the introduction of a wide bandgap top junction to better collect the higher energy photons in the solar spectrum. The two materials proposed to study here are AlxIn1-xP (x=0.36-0.42, hereafter referred to as AlInP) with bandgaps near 2.34 eV and InyGa1-yP (y=0.25-0.37) with bandgaps around 2.15 eV. Although AlInP pn-junctions have not been previously studied for photovoltaic applications, this material boasts the largest direct bandgap of the III-arsenide/phosphides, making it a highly attractive top junction candidate. Conversely, InxGa1-xP has already been studied quite extensively and used in space applications, though only for the x=0.49 composition, as it is lattice matched to commercially available GaAs substrates. Metamorphic InxGa1-xP with x=0.36-0.42 remains largely unstudied, as it is not lattice matched to common substrate which necessitates complex graded buffers to achieve these compositions with minimal strain-induced crystalline defects that can harm solar cell performance. Recent advancements in graded buffer growth techniques have enabled investigation of this promising material. These compositions are of particular interest for their larger bandgaps, and direct absorption processes, similar to AlInP. This proposal seeks to study and optimize the growth conditions and device structures of AlInP and metamorphic InGaP solar cells. The third project focuses on reducing cost through the integration of III-V cells onto Si for its low cost and established manufacturing infrastructure. Previous studies on GaAs0.7P0.3 solar cells grown on GaP/Si templates indicate challenges with extended crystalline defect nucleation upon relaxation of GaP on Si. Here we propose to study the evolution of these defects through GaP solar cell growth on both GaP/Si templates and native GaP substrates. The characterization of solar cell performance and material quality will enable a direct comparison between growth on the two substrates to help determine how these defects nucleate and evolve throughout growth.  All samples will be grown via molecular beam epitaxy. Devices will be characterized for both solar cell performance as well as material quality, the first of which will be determined with lighted and dark current-voltage and internal quantum efficiency measurements. Microstructural characterization carried out with Hall effect measurements, photoluminescence, electron beam-induced current, and atomic force, Nomarski, scanning, and transmission electron microscopies.
						More »",Space Technology Mission Directorate(STMD),Yale University,Space Technology Research Grants,ClaudiaMMeyer,HungDNguyen,JeremiahSMcnatt,MarkNReed,MichelleVaisman,Aug2015,Jul2018,,,,,,
323,Enhanced Predictions of Time to Critical Dielectric Breakdown of Materials Under Prolonged Exposure to Space Plasma Environments,"The leading cause of spacecraft failures and malfunctions due to interactions with the space plasma environment is electrostatic discharge (ESD). The enhanced time to ESD model I propose will allow for better predictions of spacecraft lifetimes and reduce the time and effort needed to obtain them. Spacecraft in the space plasma environment accumulate charge over time, the lack of electrical ground and low charge mobility can cause strong localized electric fields to build up in a material that can eventually lead to catastrophic breakdown. As spacecraft with longer mission lifetimes and more sensitive instruments are proposed, it becomes increasingly more important to be able to predict the operational lifetime of materials used in harsh space environments. My research will be to perform material tests in order to develop an enhanced ESD breakdown model.   The Utah State University Materials Physics Group (MPG) has studied the charge transport properties of spacecraft materials in partnership with NASA facilities including Goddard and MSFCs, the JPL and the Air Force Research Laboratory. As part of my participation with the James Webb Space Telescope project, I have studied ESD properties of relevant spacecraft materials. I propose to continue my research in order to develop predictions of ESD, based on descriptions of microscopic defect populations in common spacecraft materials. Of particular interest are spacecraft insulators such as polymeric low density polyethylene, polyimide (KaptonTM), and polytetraflourethylene (TeflonTM) as well as ceramics and glasses such as Al2O3 and disordered SiO2 and potential novel nanodielectrics and metamaterials.  We have identified different defect species in these materials that affect their breakdown behaviors. These defects include thermally-recoverable low-energy defects and irrecoverable defects associated with energetically deep trap sites.  My proposed tests are more applicable to spacecraft technology than standard breakdown tests. Dielectric breakdown strengths cited in handbooks or by manufactures most often come from ASTM standard tests that very rapidly ramp applied voltage until breakdown occurs. These tests are not very repeatable and do not reflect slower charge accumulation rates experienced by spacecraft in the space plasma environment. The MPG ESD test system typically use <1% of these rates, with very repeatable results. For spacecraft charging considerations, it is more useful to talk about how long a material can endure a sub-critical fields before eventual breakdown. The MPG ESD test system is capable of holding samples at sub-critical voltages to observe time to breakdown.  My previous experimental work with ESD and time endurance ESD tests has demonstrated differences in pre-breakdown arcing behavior and post-breakdown transport modes between polymeric and glassy materials. These differences reflect differences in intrinsic and induced material defects. My project will entail further experimental work to confirm differences in density and species of defects in different materials and to relate these explicitly to average times to breakdown under field stress. Critical to the development of this model is the understanding of pre-breakdown arcing in terms of the creation and annihilation of recoverable defect sites and the creation of irrecoverable defects. I will extend the MPG time model in terms of these dual defect modes to predict the time to ESD breakdown of insulating materials across differences in temperature, applied field, and thickness as a function of material defect populations. I will test my model against the MPG spacecraft materials database of ESD measurements and MPG constant voltage conductivity and pulsed electro-acoustic charge transport measurements.
						More »",Space Technology Mission Directorate(STMD),Utah State University(USU),Space Technology Research Grants,ClaudiaMMeyer,HungDNguyen,KristinaVaughn,JrDennison,AllenAndersen,Aug2014,May2018,,,,,,
324,Optimizing Materials for Energy Harvesting on Interplanetary Return Missions,"Manned interplanetary missions will only be desirable once the ability to return is established. Even using improved fuel technologies we have not resourced the fuel requirement for return missions to our nearest terrestrial neighbors. Energy harvesting in Outer Space or on another planet is imperative for return mission success, as it is impossible with current Earth-based fuel technologies to supply an outgoing mission to our closest neighbor planets with enough fuel for return. Thermophotovoltaic (TPV) devices, with a theorized maximal efficiency of 85 % conversion of incident sunlight to electricity [1], are ideal for such harvesting. Thus, the work I propose will investigate performance parameters of select TPV materials. Specifically, I will study how the optical absorption, thermal emission, electronic energy conversion and thermal transport properties are related to the structural features of TPV materials in the presence of photon wavelengths abundant in the universe. Through an in-depth, coupled experimental and theoretical, study the relationship between amorphous material structure (i.e., atomic density and fractal dimension) and optical absorption, thermal emission, electronic conversion and thermal transport properties will be determined. The results will establish the governing materials physics to further guide material selection and device design for efficient electromagnetic harvesting cells to be used for constant refuel on interplanetary missions. We will investigate organic semiconducting polymers including but not limited to: PCBM, P3HT, and P3HT:PCBM blend thin films. Due to their small band gaps these materials have an extremely high capacity for absorption in the visible and near-IR spectra, wavelengths abundant on the Martian surface and in interplanetary space. These materials also offer low thermal conductivities and controllable fractal-dendtritic growth [2]. With further improvements to energy conversion efficiency, these amorphous organic materials offer cost-effective and reliable alternatives to current state-of-the-art TPV device materials. Optical absorption coefficients, electronic scattering rates and electronic recombination times will be measured with sub-picosecond optical techniques. The sub-picosecond resolution of absorption and electron scattering rate measurements will offer direct insight into the optical and electronic processes. Emission spectra of the samples will be monitored with optical emission spectrometry. Thermal conductivity and the thermal boundary conductance of the systems will be measured with a sub-picosecond thermoreflectance technique. With these measurements the interplay between the electronic scattering processes and the thermal transport will be evidenced. Temperature dependent measurements will be conducted over the range of 10-1800 K, as facilitated with an optically accessible cryostat. Further, experimental data will be analyzed with atomistic models to develop analytical and phenomenological theories. The atomistic model development will focus on quantum mechanical non-equilibrium Green’s functions (NEGF). NEGF modeling constructs the material from atomic components and is therefore the ideal approach to study the effects of specific structural arrangements on electron excitation, scattering and recombination. The trends determined with the NEGF approach will be directly compared to the trends observed in the experimental data to determine the intricacies in the relationship between atomic arrangement and electronic activity on an atomistic level. -------------------------------------------------------------------------------- [1] Harder, Nils-Peter, and Peter Würfel. Theoretical limits of thermophotovoltaic solar energy conversion. Semiconductor science and technology 18(5):S151, 2003. [2] Liu, Hui, and Petra Reinke. C60 thin film growth on graphite: Coexistence of spherical and fractal-dendritic islands. The Journal of chemical physics, 124: 164707, 2006.
						More »",Space Technology Mission Directorate(STMD),Carnegie Mellon University,Space Technology Research Grants,ClaudiaMMeyer,HungDNguyen,BrianSGood,DavidLaughlin,CarolineSGorham,Dec2013,Dec2017,,,,,,
